19	17	28	21	11	17	28	24	12	19	10	8	10	12	13	24	18	17	20	16	12	11	27	15	11	5	13	10	20	28	27	25	31	21	14	9	15	15	17	9	13	9	12	11	19	13	13	23	10	8	12	16	3	5	13	15	13	11	14	9	14	11	10	20	11	7	42	36	9	14	15	26	19	22	18	14	24	31	11	5	16	18	16	16	5	14	6	4	14	19
11	9	15	10	11	10	13	12	7	7	2	0	1	1	13	4	7	0	12	14	9	10	9	9	3	5	12	7	9	2	14	20	15	27	9	7	13	11	4	9	4	10	4	2	4	0	0	5	5	0	7	2	0	0	7	8	8	5	13	2	0	6	4	3	2	0	19	23	10	8	20	14	21	17	13	12	22	14	1	0	9	4	0	0	3	0	1	0	9	4
4	6	9	10	15	20	11	8	9	8	0	4	0	0	11	10	1	9	6	11	16	14	11	12	6	2	8	7	15	12	12	15	1	3	4	6	17	14	8	15	12	15	8	10	4	8	8	17	4	6	13	13	2	5	13	17	0	3	2	2	0	1	0	4	2	0	14	18	5	7	15	14	13	17	13	12	16	17	1	3	8	14	6	14	9	7	0	6	9	13
6	7	7	5	23	12	6	9	11	6	3	1	0	0	10	4	10	2	7	8	17	11	4	8	7	3	14	8	14	9	12	16	4	10	10	10	17	16	11	8	13	11	8	9	8	6	8	9	5	4	7	11	3	1	12	7	5	0	6	0	4	0	6	0	5	0	19	18	5	7	13	16	14	25	10	13	13	20	1	5	9	13	9	4	7	7	9	1	8	8
5	11	12	12	10	16	15	15	6	9	5	4	2	1	4	15	7	7	8	11	5	13	8	14	7	9	4	7	6	11	15	17	10	13	5	8	9	14	5	13	7	12	9	14	11	9	8	14	5	6	11	14	3	7	11	14	5	7	8	6	2	7	0	2	6	2	16	23	9	8	4	18	8	18	9	12	19	16	1	2	6	18	4	14	6	10	0	7	6	10
6	16	5	12	14	15	8	22	0	17	4	13	1	9	1	16	7	13	12	9	16	16	12	12	15	6	14	8	3	16	16	14	9	12	4	6	10	13	10	14	10	14	6	7	5	5	10	12	4	5	8	13	3	5	6	18	4	9	5	13	3	11	5	6	8	4	12	22	7	9	9	24	7	24	8	15	11	11	0	10	7	19	5	17	6	15	1	6	5	9
14	15	6	4	13	15	7	13	7	7	6	5	3	2	12	13	12	9	10	9	20	25	5	5	10	0	14	14	26	31	17	17	22	15	16	15	14	19	8	16	13	13	12	10	10	11	11	11	8	5	8	21	2	4	9	13	11	7	7	5	6	5	10	10	12	2	29	27	5	8	19	22	25	26	20	19	19	26	7	10	19	24	11	12	24	19	2	0	15	17
3	11	4	5	12	11	5	10	9	10	3	0	0	0	7	10	8	0	9	6	18	15	6	6	6	1	11	8	6	16	16	16	14	10	8	5	12	18	11	13	9	12	11	7	7	5	10	5	3	0	6	4	4	0	9	9	4	1	1	0	1	1	5	0	2	0	16	14	2	5	11	17	17	21	19	13	10	17	4	7	11	17	5	5	10	13	7	8	12	8
6	7	7	7	11	15	8	14	9	10	7	8	4	4	14	14	9	4	7	2	14	17	10	8	16	8	12	15	16	20	17	15	8	15	8	11	17	15	16	18	16	13	10	16	4	10	10	12	8	5	9	15	6	4	19	14	9	4	10	4	7	6	5	5	3	2	21	20	3	1	11	16	11	19	14	18	21	23	6	5	11	15	10	12	8	13	10	10	11	10
1	7	1	6	11	13	2	8	4	8	1	9	0	3	3	12	1	6	2	7	17	16	3	7	10	5	12	15	10	24	12	17	10	7	7	4	10	15	12	15	11	12	7	6	0	3	6	4	4	3	6	10	0	4	5	9	1	3	0	1	0	3	1	6	0	4	13	11	0	2	9	21	13	17	11	10	11	18	0	7	5	16	6	15	2	14	2	8	3	6
10	15	6	8	9	5	6	4	5	4	7	5	2	3	5	3	11	3	8	8	13	11	3	7	6	0	7	5	16	11	11	16	13	18	5	7	16	16	7	9	11	6	3	5	1	0	12	4	5	3	16	3	4	0	12	3	15	10	5	5	2	1	12	1	6	0	18	17	8	8	9	9	16	16	11	13	19	13	6	5	12	8	12	8	9	2	5	7	11	1
7	11	5	9	7	8	3	8	2	5	0	3	0	3	5	3	3	3	3	7	17	13	0	2	8	4	11	7	13	13	9	14	5	13	3	10	13	15	12	6	10	6	10	7	5	6	10	7	4	6	8	9	0	3	15	4	2	0	5	1	0	0	2	2	5	0	18	21	7	11	13	12	12	20	8	15	15	18	2	6	4	10	2	1	6	1	0	0	6	2
6	2	5	2	8	6	2	0	0	4	1	1	0	1	8	6	4	6	6	5	17	12	1	2	5	0	8	5	13	17	8	11	5	11	9	6	19	22	14	13	21	5	4	3	2	4	10	9	0	0	0	11	0	6	19	13	3	4	1	4	2	3	2	4	1	2	21	25	12	13	11	11	13	14	9	16	13	22	4	12	4	17	8	9	6	13	4	4	10	9
16	14	20	9	14	8	8	4	6	1	7	6	1	3	7	15	12	10	17	14	21	20	8	9	8	4	9	10	25	21	14	15	11	11	8	2	20	18	19	14	12	16	4	4	5	6	9	17	4	5	9	17	3	5	15	16	13	13	17	10	7	5	6	7	2	4	26	23	11	13	21	21	24	26	20	19	24	25	5	9	11	14	15	9	12	15	7	11	15	10
8	16	20	13	17	19	9	12	15	18	5	6	5	6	19	16	8	8	10	9	21	22	14	15	16	14	20	17	18	24	19	16	7	14	13	9	15	18	17	16	15	14	2	3	5	2	7	8	0	3	4	7	0	5	15	12	7	3	5	2	1	5	2	1	0	0	17	18	5	9	14	16	23	26	19	22	21	22	2	13	10	21	11	13	9	9	9	9	14	10
14	25	26	27	19	23	26	19	21	16	8	9	9	6	26	18	16	14	21	23	23	27	22	22	19	17	20	19	24	28	26	28	19	24	11	9	21	13	20	23	12	14	10	13	13	12	15	18	9	11	15	17	6	13	16	21	14	12	14	15	2	16	11	9	3	6	24	25	13	19	20	23	22	30	15	21	31	20	7	9	16	26	18	19	8	15	10	8	16	15
17	18	22	15	13	12	8	14	6	11	12	7	9	6	7	17	18	12	18	11	21	22	5	6	8	1	8	16	23	31	19	14	19	5	5	2	20	21	20	18	19	17	9	3	4	2	12	7	8	2	10	10	7	8	20	21	12	10	11	15	4	12	10	7	2	0	25	11	9	12	6	12	29	24	20	15	21	25	6	10	25	21	16	14	17	21	14	14	16	16
12	16	20	18	19	23	17	15	7	21	5	9	4	10	16	19	11	10	14	15	24	23	14	16	14	11	19	22	19	26	21	20	19	11	8	3	24	18	19	21	19	16	11	16	18	10	15	12	9	13	17	25	8	9	20	16	12	13	19	12	4	11	5	7	2	2	24	18	11	12	12	21	24	27	23	22	19	30	4	14	11	18	15	23	10	17	14	16	16	17
